-1,25061064973131  -1,42403517342452  0  0  10
-1,26526624328285  -1,44113336590132  9  0  10
-1,28236443575965  -1,45578895945286  14  0  10
-1,29946262823644  -1,47288715192965  19  0  10
-1,31656082071324  -1,48754274548119  24  0  10
-1,33121641426478  -1,50464093795799  29  0  10
-1,34831460674157  -1,51929653150953  34  0  10
-1,36541279921837  -1,53395212506106  39  0  10
-1,38006839276991  -1,55105031753786  44  0  10
-1,3971665852467  -1,5657059110894  49  0  10
-1,4142647777235  -1,58036150464094  54  0  10
-1,42892037127504  -1,59745969711773  59  0  10
-1,44601856375183  -1,61211529066927  64  0  10
-1,46067415730337  -1,62677088422081  69  0  10
-1,47777234978017  -1,64142647777235  74  0  10
-1,4924279433317  -1,65608207132389  79  0  10
-1,5095261358085  -1,67318026380068  84  0  10
-1,52418172936004  -1,68783585735222  89  0  10
-1,54127992183683  -1,70249145090376  94  0  10
-1,55593551538837  -1,7171470444553  99  0  10
-1,57303370786517  -1,73180263800684  104  0  10
-1,58768930141671  -1,74645823155838  109  0  10
-1,60234489496825  -1,76111382510992  114  0  10
-1,61944308744504  -1,77576941866146  119  0  10
-1,63409868099658  -1,79042501221299  124  0  10
-1,64875427454812  -1,80263800683928  129  0  10
-1,66340986809966  -1,81729360039082  134  0  10
-1,68050806057645  -1,83194919394235  139  0  10
-1,69516365412799  -1,84660478749389  144  0  10
-1,70981924767953  -1,86126038104543  149  0  10
-1,72447484123107  -1,87347337567171  154  0  10
-1,73913043478261  -1,88812896922325  159  0  10
-1,75378602833415  -1,90278456277479  164  0  10
-1,76844162188569  -1,91499755740107  169  0  10
-1,78309721543723  -1,92965315095261  174  0  10
-1,79775280898876  -1,94430874450415  179  0  10
-1,8124084025403  -1,95652173913043  184  0  10
-1,82706399609184  -1,97117733268197  189  0  10
-1,84171958964338  -1,98339032730826  194  0  10
-1,85637518319492  -1,99804592085979  199  0  10
-1,87103077674646  -2,01025891548608  204  0  10
-1,88324377137274  -2,02247191011236  209  0  10
-1,89789936492428  -2,0371275036639  214  0  10
-1,91255495847582  -2,04934049829018  219  0  10
-1,92721055202736  -2,06155349291646  224  0  10
-1,93942354665364  -2,076209086468  229  0  10
-1,95407914020518  -2,08842208109428  234  0  10
-1,96873473375672  -2,10063507572057  239  0  10
-1,980947728383  -2,11284807034685  244  0  10
-1,99560332193454  -2,12506106497313  249  0  10
